text,is_quote_status,has_card,1_day_after,is_in_reply_to,is_urls,year,month,day_of_week
"['rate', 'chang', 'today', 'aapl', 'initi', 'hold', '211', 'amd', 'initi', 'buy', 'ar', 'upgrad', 'buy', '44', 'burl', 'upgrad', 'buy', '300', 'nem', 'upgrad', 'buy', '59', 'pstg', 'hold', '60', 'shak', 'downgrad', 'hold', '114', 'start', 'day', 'check', 'rate', 'unusualwhal', 'httpstcolgocwc7qd', 'httpstcovzky09xebb']",0,0,1,0,1,2024,8,1
"['new', 'mobil', 'featur', 'revamp', 'mobil', 'earn', 'breakdown', 'app', 'amp', 'overview', 'page', 'stock', 'option', 'use', 'app', 'week', 'help', 'navig', 'market', 'busi', 'earn', 'week', 'aapl', 'amzn', 'msft', 'report', 'app', 'link', 'httpstcog6exgd58au', 'httpstcowbparxnbhw']",0,0,1,0,1,2024,8,0
"['driver', 'licens', 'state', 'id', 'appl', 'aapl', 'wallet', 'come', 'california']",0,0,1,0,0,2024,8,3
"['get', 'aapl', 'news', 'subscrib', 'unusu', 'whale', 'get', 'custom', 'flow', 'alert', 'unusu', 'option', 'see', 'httpstcozqupdakq8p']",0,0,1,1,1,2024,8,3
"['berkshir', 'hathaway', 'releas', '13f', 'q2', '2024', 'read', 'key', 'takeaway', 'httpstcox4vkdaaoyt', 'includ', 'stock', 'warren', 'buffett', 'team', 'bought', 'sold', 'last', 'quarter', 'buffett', 'sold', 'aapl', '3', 'undervalu', 'stock', 'buy', 'berkshir', 'portfolio', '3', 'warren', 'buffett', 'stock', 'buy', 'berkshir', 'hathaway', 'new', '13f', 'file', 'releas']",0,1,1,0,1,2024,8,2
"['break', 'warren', 'buffett', 'berkshir', 'hathaway', 'brka', 'updat', 'hold', 'reduc', 'appl', 'aapl', 'almost', '50', 'ad', 'ultra', 'beauti', 'ulta', '266', 'million', 'share', 'ad', 'heico', 'hei', '185', 'million', 'share', 'httpstcolp0vby2put']",0,0,1,0,0,2024,8,2
"['appl', 'aapl', 'spend', 'billion', 'dollar', 'year', 'origin', 'program', 'stream', 'servic', 'attract', '02', 'tv', 'view', 'us', 'per', 'bloomberg', 'fact', 'appl', 'tv', 'gener', 'less', 'view', 'one', 'month', 'netflix', 'nflx', 'one', 'day']",0,0,1,0,0,2024,8,2
"['appl', 'aapl', 'rivian', 'rivn', 'announc', 'appl', 'music', 'audio', 'stream', 'technolog', 'avail', 'current', 'rivian', 'vehicl', 'owner', 'via', 'overtheair', 'updat']",0,0,1,0,0,2024,8,1
"['new', 'mobil', 'featur', 'revamp', 'mobil', 'earn', 'breakdowsn', 'app', 'amp', 'overview', 'page', 'stock', 'option', 'use', 'app', 'week', 'help', 'navig', 'market', 'busi', 'earn', 'week', 'aapl', 'amzn', 'msft', 'report', 'app', 'link', 'httpstcog6exgd58au', 'httpstcopsfuvltijo']",0,0,1,0,1,2024,8,6
"['bullish', 'bearish', 'option', 'chain', 'trade', 'today', 'cat', 'intc', 'snow', 'hood', 'googl', 'aapl', 'link', 'httpstcocc6czp0f16', 'httpstcozowyuze3hl']",0,0,1,0,1,2024,8,4
